audio_path,fig_path
D:\datasets\flickr_soundnet\Data\1\10235650445.wav,D:\datasets\flickr_soundnet\Data\1\10235650445.jpg
D:\datasets\flickr_soundnet\Data\1\10248278645.wav,D:\datasets\flickr_soundnet\Data\1\10248278645.jpg
D:\datasets\flickr_soundnet\Data\1\10249160715.wav,D:\datasets\flickr_soundnet\Data\1\10249160715.jpg
D:\datasets\flickr_soundnet\Data\1\10249880854.wav,D:\datasets\flickr_soundnet\Data\1\10249880854.jpg
D:\datasets\flickr_soundnet\Data\1\10260277796.wav,D:\datasets\flickr_soundnet\Data\1\10260277796.jpg
D:\datasets\flickr_soundnet\Data\1\10262511314.wav,D:\datasets\flickr_soundnet\Data\1\10262511314.jpg
D:\datasets\flickr_soundnet\Data\1\10285042175.wav,D:\datasets\flickr_soundnet\Data\1\10285042175.jpg
D:\datasets\flickr_soundnet\Data\1\10318391396.wav,D:\datasets\flickr_soundnet\Data\1\10318391396.jpg
D:\datasets\flickr_soundnet\Data\1\10330114474.wav,D:\datasets\flickr_soundnet\Data\1\10330114474.jpg
D:\datasets\flickr_soundnet\Data\1\10346598243.wav,D:\datasets\flickr_soundnet\Data\1\10346598243.jpg
D:\datasets\flickr_soundnet\Data\1\10354665674.wav,D:\datasets\flickr_soundnet\Data\1\10354665674.jpg
D:\datasets\flickr_soundnet\Data\1\10358287555.wav,D:\datasets\flickr_soundnet\Data\1\10358287555.jpg
D:\datasets\flickr_soundnet\Data\1\10365173314.wav,D:\datasets\flickr_soundnet\Data\1\10365173314.jpg
D:\datasets\flickr_soundnet\Data\1\10381156595.wav,D:\datasets\flickr_soundnet\Data\1\10381156595.jpg
D:\datasets\flickr_soundnet\Data\1\10399659303.wav,D:\datasets\flickr_soundnet\Data\1\10399659303.jpg
D:\datasets\flickr_soundnet\Data\1\10403065203.wav,D:\datasets\flickr_soundnet\Data\1\10403065203.jpg
D:\datasets\flickr_soundnet\Data\1\10426041415.wav,D:\datasets\flickr_soundnet\Data\1\10426041415.jpg
D:\datasets\flickr_soundnet\Data\1\10426778285.wav,D:\datasets\flickr_soundnet\Data\1\10426778285.jpg
D:\datasets\flickr_soundnet\Data\1\10452219243.wav,D:\datasets\flickr_soundnet\Data\1\10452219243.jpg
D:\datasets\flickr_soundnet\Data\1\10467216636.wav,D:\datasets\flickr_soundnet\Data\1\10467216636.jpg
D:\datasets\flickr_soundnet\Data\1\10468433653.wav,D:\datasets\flickr_soundnet\Data\1\10468433653.jpg
D:\datasets\flickr_soundnet\Data\1\10476446674.wav,D:\datasets\flickr_soundnet\Data\1\10476446674.jpg
D:\datasets\flickr_soundnet\Data\1\10477544895.wav,D:\datasets\flickr_soundnet\Data\1\10477544895.jpg
D:\datasets\flickr_soundnet\Data\1\10489940795.wav,D:\datasets\flickr_soundnet\Data\1\10489940795.jpg
D:\datasets\flickr_soundnet\Data\1\10507843963.wav,D:\datasets\flickr_soundnet\Data\1\10507843963.jpg
D:\datasets\flickr_soundnet\Data\1\10520382525.wav,D:\datasets\flickr_soundnet\Data\1\10520382525.jpg
D:\datasets\flickr_soundnet\Data\1\10539618754.wav,D:\datasets\flickr_soundnet\Data\1\10539618754.jpg
D:\datasets\flickr_soundnet\Data\1\10548943704.wav,D:\datasets\flickr_soundnet\Data\1\10548943704.jpg
D:\datasets\flickr_soundnet\Data\1\10561351924.wav,D:\datasets\flickr_soundnet\Data\1\10561351924.jpg
D:\datasets\flickr_soundnet\Data\1\10568276804.wav,D:\datasets\flickr_soundnet\Data\1\10568276804.jpg
D:\datasets\flickr_soundnet\Data\1\10603991023.wav,D:\datasets\flickr_soundnet\Data\1\10603991023.jpg
D:\datasets\flickr_soundnet\Data\1\10607488436.wav,D:\datasets\flickr_soundnet\Data\1\10607488436.jpg
D:\datasets\flickr_soundnet\Data\1\10609079093.wav,D:\datasets\flickr_soundnet\Data\1\10609079093.jpg
D:\datasets\flickr_soundnet\Data\1\10632374374.wav,D:\datasets\flickr_soundnet\Data\1\10632374374.jpg
D:\datasets\flickr_soundnet\Data\1\10637226213.wav,D:\datasets\flickr_soundnet\Data\1\10637226213.jpg
D:\datasets\flickr_soundnet\Data\1\10645009673.wav,D:\datasets\flickr_soundnet\Data\1\10645009673.jpg
D:\datasets\flickr_soundnet\Data\1\10645559433.wav,D:\datasets\flickr_soundnet\Data\1\10645559433.jpg
D:\datasets\flickr_soundnet\Data\1\10650435873.wav,D:\datasets\flickr_soundnet\Data\1\10650435873.jpg
D:\datasets\flickr_soundnet\Data\1\10689031533.wav,D:\datasets\flickr_soundnet\Data\1\10689031533.jpg
D:\datasets\flickr_soundnet\Data\1\10698279846.wav,D:\datasets\flickr_soundnet\Data\1\10698279846.jpg
D:\datasets\flickr_soundnet\Data\1\10699033476.wav,D:\datasets\flickr_soundnet\Data\1\10699033476.jpg
D:\datasets\flickr_soundnet\Data\1\10699041045.wav,D:\datasets\flickr_soundnet\Data\1\10699041045.jpg
D:\datasets\flickr_soundnet\Data\1\10712300736.wav,D:\datasets\flickr_soundnet\Data\1\10712300736.jpg
D:\datasets\flickr_soundnet\Data\1\10719398803.wav,D:\datasets\flickr_soundnet\Data\1\10719398803.jpg
D:\datasets\flickr_soundnet\Data\1\10734408575.wav,D:\datasets\flickr_soundnet\Data\1\10734408575.jpg
D:\datasets\flickr_soundnet\Data\1\10743985374.wav,D:\datasets\flickr_soundnet\Data\1\10743985374.jpg
D:\datasets\flickr_soundnet\Data\1\10754994434.wav,D:\datasets\flickr_soundnet\Data\1\10754994434.jpg
D:\datasets\flickr_soundnet\Data\1\10755524486.wav,D:\datasets\flickr_soundnet\Data\1\10755524486.jpg
D:\datasets\flickr_soundnet\Data\1\10784646436.wav,D:\datasets\flickr_soundnet\Data\1\10784646436.jpg
D:\datasets\flickr_soundnet\Data\1\10788217144.wav,D:\datasets\flickr_soundnet\Data\1\10788217144.jpg
D:\datasets\flickr_soundnet\Data\1\10789076674.wav,D:\datasets\flickr_soundnet\Data\1\10789076674.jpg
D:\datasets\flickr_soundnet\Data\1\10795023275.wav,D:\datasets\flickr_soundnet\Data\1\10795023275.jpg
D:\datasets\flickr_soundnet\Data\1\10796634124.wav,D:\datasets\flickr_soundnet\Data\1\10796634124.jpg
D:\datasets\flickr_soundnet\Data\1\10806068385.wav,D:\datasets\flickr_soundnet\Data\1\10806068385.jpg
D:\datasets\flickr_soundnet\Data\1\10829281095.wav,D:\datasets\flickr_soundnet\Data\1\10829281095.jpg
D:\datasets\flickr_soundnet\Data\1\10843664594.wav,D:\datasets\flickr_soundnet\Data\1\10843664594.jpg
D:\datasets\flickr_soundnet\Data\1\10857030713.wav,D:\datasets\flickr_soundnet\Data\1\10857030713.jpg
D:\datasets\flickr_soundnet\Data\1\10862743574.wav,D:\datasets\flickr_soundnet\Data\1\10862743574.jpg
D:\datasets\flickr_soundnet\Data\1\10871504945.wav,D:\datasets\flickr_soundnet\Data\1\10871504945.jpg
D:\datasets\flickr_soundnet\Data\1\10875174565.wav,D:\datasets\flickr_soundnet\Data\1\10875174565.jpg
D:\datasets\flickr_soundnet\Data\1\10876117153.wav,D:\datasets\flickr_soundnet\Data\1\10876117153.jpg
D:\datasets\flickr_soundnet\Data\1\10883492316.wav,D:\datasets\flickr_soundnet\Data\1\10883492316.jpg
D:\datasets\flickr_soundnet\Data\1\10892303184.wav,D:\datasets\flickr_soundnet\Data\1\10892303184.jpg
D:\datasets\flickr_soundnet\Data\1\10895276104.wav,D:\datasets\flickr_soundnet\Data\1\10895276104.jpg
D:\datasets\flickr_soundnet\Data\1\10975656506.wav,D:\datasets\flickr_soundnet\Data\1\10975656506.jpg
D:\datasets\flickr_soundnet\Data\1\10986468945.wav,D:\datasets\flickr_soundnet\Data\1\10986468945.jpg
D:\datasets\flickr_soundnet\Data\1\11012065424.wav,D:\datasets\flickr_soundnet\Data\1\11012065424.jpg
D:\datasets\flickr_soundnet\Data\1\11015210543.wav,D:\datasets\flickr_soundnet\Data\1\11015210543.jpg
D:\datasets\flickr_soundnet\Data\1\11091459123.wav,D:\datasets\flickr_soundnet\Data\1\11091459123.jpg
D:\datasets\flickr_soundnet\Data\1\11096679404.wav,D:\datasets\flickr_soundnet\Data\1\11096679404.jpg
D:\datasets\flickr_soundnet\Data\1\11102187285.wav,D:\datasets\flickr_soundnet\Data\1\11102187285.jpg
D:\datasets\flickr_soundnet\Data\1\11138650945.wav,D:\datasets\flickr_soundnet\Data\1\11138650945.jpg
D:\datasets\flickr_soundnet\Data\1\11155497095.wav,D:\datasets\flickr_soundnet\Data\1\11155497095.jpg
D:\datasets\flickr_soundnet\Data\1\11163198684.wav,D:\datasets\flickr_soundnet\Data\1\11163198684.jpg
D:\datasets\flickr_soundnet\Data\1\11173103345.wav,D:\datasets\flickr_soundnet\Data\1\11173103345.jpg
D:\datasets\flickr_soundnet\Data\1\11183370794.wav,D:\datasets\flickr_soundnet\Data\1\11183370794.jpg
D:\datasets\flickr_soundnet\Data\1\11223488274.wav,D:\datasets\flickr_soundnet\Data\1\11223488274.jpg
D:\datasets\flickr_soundnet\Data\1\11266369563.wav,D:\datasets\flickr_soundnet\Data\1\11266369563.jpg
D:\datasets\flickr_soundnet\Data\1\11276550995.wav,D:\datasets\flickr_soundnet\Data\1\11276550995.jpg
D:\datasets\flickr_soundnet\Data\1\11280378396.wav,D:\datasets\flickr_soundnet\Data\1\11280378396.jpg
D:\datasets\flickr_soundnet\Data\1\11307509783.wav,D:\datasets\flickr_soundnet\Data\1\11307509783.jpg
D:\datasets\flickr_soundnet\Data\1\11321154533.wav,D:\datasets\flickr_soundnet\Data\1\11321154533.jpg
D:\datasets\flickr_soundnet\Data\1\11345475326.wav,D:\datasets\flickr_soundnet\Data\1\11345475326.jpg
D:\datasets\flickr_soundnet\Data\1\11355622165.wav,D:\datasets\flickr_soundnet\Data\1\11355622165.jpg
D:\datasets\flickr_soundnet\Data\1\11410590625.wav,D:\datasets\flickr_soundnet\Data\1\11410590625.jpg
D:\datasets\flickr_soundnet\Data\1\11444545643.wav,D:\datasets\flickr_soundnet\Data\1\11444545643.jpg
D:\datasets\flickr_soundnet\Data\1\11519128373.wav,D:\datasets\flickr_soundnet\Data\1\11519128373.jpg
D:\datasets\flickr_soundnet\Data\1\11530917703.wav,D:\datasets\flickr_soundnet\Data\1\11530917703.jpg
D:\datasets\flickr_soundnet\Data\1\11548664204.wav,D:\datasets\flickr_soundnet\Data\1\11548664204.jpg
D:\datasets\flickr_soundnet\Data\1\11566301523.wav,D:\datasets\flickr_soundnet\Data\1\11566301523.jpg
D:\datasets\flickr_soundnet\Data\1\11572102724.wav,D:\datasets\flickr_soundnet\Data\1\11572102724.jpg
D:\datasets\flickr_soundnet\Data\1\11617392904.wav,D:\datasets\flickr_soundnet\Data\1\11617392904.jpg
D:\datasets\flickr_soundnet\Data\1\11696294434.wav,D:\datasets\flickr_soundnet\Data\1\11696294434.jpg
D:\datasets\flickr_soundnet\Data\1\11704603375.wav,D:\datasets\flickr_soundnet\Data\1\11704603375.jpg
D:\datasets\flickr_soundnet\Data\1\11738345195.wav,D:\datasets\flickr_soundnet\Data\1\11738345195.jpg
D:\datasets\flickr_soundnet\Data\1\11776645404.wav,D:\datasets\flickr_soundnet\Data\1\11776645404.jpg
D:\datasets\flickr_soundnet\Data\1\11777009754.wav,D:\datasets\flickr_soundnet\Data\1\11777009754.jpg
D:\datasets\flickr_soundnet\Data\1\11816207134.wav,D:\datasets\flickr_soundnet\Data\1\11816207134.jpg
D:\datasets\flickr_soundnet\Data\1\11855018964.wav,D:\datasets\flickr_soundnet\Data\1\11855018964.jpg
D:\datasets\flickr_soundnet\Data\1\11899330544.wav,D:\datasets\flickr_soundnet\Data\1\11899330544.jpg
D:\datasets\flickr_soundnet\Data\1\11934584465.wav,D:\datasets\flickr_soundnet\Data\1\11934584465.jpg
D:\datasets\flickr_soundnet\Data\1\11937745695.wav,D:\datasets\flickr_soundnet\Data\1\11937745695.jpg
D:\datasets\flickr_soundnet\Data\1\12060567986.wav,D:\datasets\flickr_soundnet\Data\1\12060567986.jpg
D:\datasets\flickr_soundnet\Data\1\12103535156.wav,D:\datasets\flickr_soundnet\Data\1\12103535156.jpg
D:\datasets\flickr_soundnet\Data\1\12174214063.wav,D:\datasets\flickr_soundnet\Data\1\12174214063.jpg
D:\datasets\flickr_soundnet\Data\1\12201698163.wav,D:\datasets\flickr_soundnet\Data\1\12201698163.jpg
D:\datasets\flickr_soundnet\Data\1\12251196063.wav,D:\datasets\flickr_soundnet\Data\1\12251196063.jpg
D:\datasets\flickr_soundnet\Data\1\12282338284.wav,D:\datasets\flickr_soundnet\Data\1\12282338284.jpg
D:\datasets\flickr_soundnet\Data\1\12289212163.wav,D:\datasets\flickr_soundnet\Data\1\12289212163.jpg
D:\datasets\flickr_soundnet\Data\1\12295339254.wav,D:\datasets\flickr_soundnet\Data\1\12295339254.jpg
D:\datasets\flickr_soundnet\Data\1\12392214045.wav,D:\datasets\flickr_soundnet\Data\1\12392214045.jpg
D:\datasets\flickr_soundnet\Data\1\12398305533.wav,D:\datasets\flickr_soundnet\Data\1\12398305533.jpg
D:\datasets\flickr_soundnet\Data\1\12489283494.wav,D:\datasets\flickr_soundnet\Data\1\12489283494.jpg
D:\datasets\flickr_soundnet\Data\1\12570067675.wav,D:\datasets\flickr_soundnet\Data\1\12570067675.jpg
D:\datasets\flickr_soundnet\Data\1\12574426973.wav,D:\datasets\flickr_soundnet\Data\1\12574426973.jpg
D:\datasets\flickr_soundnet\Data\1\12604266554.wav,D:\datasets\flickr_soundnet\Data\1\12604266554.jpg
D:\datasets\flickr_soundnet\Data\1\12612564464.wav,D:\datasets\flickr_soundnet\Data\1\12612564464.jpg
D:\datasets\flickr_soundnet\Data\1\12625986014.wav,D:\datasets\flickr_soundnet\Data\1\12625986014.jpg
D:\datasets\flickr_soundnet\Data\1\12627996753.wav,D:\datasets\flickr_soundnet\Data\1\12627996753.jpg
D:\datasets\flickr_soundnet\Data\1\12634267624.wav,D:\datasets\flickr_soundnet\Data\1\12634267624.jpg
D:\datasets\flickr_soundnet\Data\1\12637452924.wav,D:\datasets\flickr_soundnet\Data\1\12637452924.jpg
D:\datasets\flickr_soundnet\Data\1\12671839663.wav,D:\datasets\flickr_soundnet\Data\1\12671839663.jpg
D:\datasets\flickr_soundnet\Data\1\12680861624.wav,D:\datasets\flickr_soundnet\Data\1\12680861624.jpg
D:\datasets\flickr_soundnet\Data\1\12687991164.wav,D:\datasets\flickr_soundnet\Data\1\12687991164.jpg
D:\datasets\flickr_soundnet\Data\1\12741203354.wav,D:\datasets\flickr_soundnet\Data\1\12741203354.jpg
D:\datasets\flickr_soundnet\Data\1\12894881485.wav,D:\datasets\flickr_soundnet\Data\1\12894881485.jpg
D:\datasets\flickr_soundnet\Data\1\12914240154.wav,D:\datasets\flickr_soundnet\Data\1\12914240154.jpg
D:\datasets\flickr_soundnet\Data\1\12934751275.wav,D:\datasets\flickr_soundnet\Data\1\12934751275.jpg
D:\datasets\flickr_soundnet\Data\1\12961516544.wav,D:\datasets\flickr_soundnet\Data\1\12961516544.jpg
D:\datasets\flickr_soundnet\Data\1\12972674024.wav,D:\datasets\flickr_soundnet\Data\1\12972674024.jpg
D:\datasets\flickr_soundnet\Data\1\13104739855.wav,D:\datasets\flickr_soundnet\Data\1\13104739855.jpg
D:\datasets\flickr_soundnet\Data\1\13134342864.wav,D:\datasets\flickr_soundnet\Data\1\13134342864.jpg
D:\datasets\flickr_soundnet\Data\1\13141403365.wav,D:\datasets\flickr_soundnet\Data\1\13141403365.jpg
D:\datasets\flickr_soundnet\Data\1\13199077865.wav,D:\datasets\flickr_soundnet\Data\1\13199077865.jpg
D:\datasets\flickr_soundnet\Data\1\13211388314.wav,D:\datasets\flickr_soundnet\Data\1\13211388314.jpg
D:\datasets\flickr_soundnet\Data\1\13228101694.wav,D:\datasets\flickr_soundnet\Data\1\13228101694.jpg
D:\datasets\flickr_soundnet\Data\1\13255478875.wav,D:\datasets\flickr_soundnet\Data\1\13255478875.jpg
D:\datasets\flickr_soundnet\Data\1\13342419794.wav,D:\datasets\flickr_soundnet\Data\1\13342419794.jpg
D:\datasets\flickr_soundnet\Data\1\13351860934.wav,D:\datasets\flickr_soundnet\Data\1\13351860934.jpg
D:\datasets\flickr_soundnet\Data\1\13369889243.wav,D:\datasets\flickr_soundnet\Data\1\13369889243.jpg
D:\datasets\flickr_soundnet\Data\1\13425786313.wav,D:\datasets\flickr_soundnet\Data\1\13425786313.jpg
D:\datasets\flickr_soundnet\Data\1\13433440763.wav,D:\datasets\flickr_soundnet\Data\1\13433440763.jpg
D:\datasets\flickr_soundnet\Data\1\13436947543.wav,D:\datasets\flickr_soundnet\Data\1\13436947543.jpg
D:\datasets\flickr_soundnet\Data\1\13452388414.wav,D:\datasets\flickr_soundnet\Data\1\13452388414.jpg
D:\datasets\flickr_soundnet\Data\1\13475983893.wav,D:\datasets\flickr_soundnet\Data\1\13475983893.jpg
D:\datasets\flickr_soundnet\Data\1\13604553833.wav,D:\datasets\flickr_soundnet\Data\1\13604553833.jpg
D:\datasets\flickr_soundnet\Data\1\13615634705.wav,D:\datasets\flickr_soundnet\Data\1\13615634705.jpg
D:\datasets\flickr_soundnet\Data\1\13616850783.wav,D:\datasets\flickr_soundnet\Data\1\13616850783.jpg
D:\datasets\flickr_soundnet\Data\1\13663570505.wav,D:\datasets\flickr_soundnet\Data\1\13663570505.jpg
D:\datasets\flickr_soundnet\Data\1\13672640934.wav,D:\datasets\flickr_soundnet\Data\1\13672640934.jpg
D:\datasets\flickr_soundnet\Data\1\13718225003.wav,D:\datasets\flickr_soundnet\Data\1\13718225003.jpg
D:\datasets\flickr_soundnet\Data\1\13917634119.wav,D:\datasets\flickr_soundnet\Data\1\13917634119.jpg
D:\datasets\flickr_soundnet\Data\1\13918697604.wav,D:\datasets\flickr_soundnet\Data\1\13918697604.jpg
D:\datasets\flickr_soundnet\Data\1\13931158302.wav,D:\datasets\flickr_soundnet\Data\1\13931158302.jpg
D:\datasets\flickr_soundnet\Data\1\14015126604.wav,D:\datasets\flickr_soundnet\Data\1\14015126604.jpg
D:\datasets\flickr_soundnet\Data\1\14047605073.wav,D:\datasets\flickr_soundnet\Data\1\14047605073.jpg
D:\datasets\flickr_soundnet\Data\1\14062111458.wav,D:\datasets\flickr_soundnet\Data\1\14062111458.jpg
D:\datasets\flickr_soundnet\Data\1\14092162507.wav,D:\datasets\flickr_soundnet\Data\1\14092162507.jpg
D:\datasets\flickr_soundnet\Data\1\14133775103.wav,D:\datasets\flickr_soundnet\Data\1\14133775103.jpg
D:\datasets\flickr_soundnet\Data\1\14164692526.wav,D:\datasets\flickr_soundnet\Data\1\14164692526.jpg
D:\datasets\flickr_soundnet\Data\1\14172806226.wav,D:\datasets\flickr_soundnet\Data\1\14172806226.jpg
D:\datasets\flickr_soundnet\Data\1\14175492687.wav,D:\datasets\flickr_soundnet\Data\1\14175492687.jpg
D:\datasets\flickr_soundnet\Data\1\14206388092.wav,D:\datasets\flickr_soundnet\Data\1\14206388092.jpg
D:\datasets\flickr_soundnet\Data\1\14218278640.wav,D:\datasets\flickr_soundnet\Data\1\14218278640.jpg
D:\datasets\flickr_soundnet\Data\1\14235177874.wav,D:\datasets\flickr_soundnet\Data\1\14235177874.jpg
D:\datasets\flickr_soundnet\Data\1\14237790446.wav,D:\datasets\flickr_soundnet\Data\1\14237790446.jpg
D:\datasets\flickr_soundnet\Data\1\14256600248.wav,D:\datasets\flickr_soundnet\Data\1\14256600248.jpg
D:\datasets\flickr_soundnet\Data\1\14276192699.wav,D:\datasets\flickr_soundnet\Data\1\14276192699.jpg
D:\datasets\flickr_soundnet\Data\1\14279747707.wav,D:\datasets\flickr_soundnet\Data\1\14279747707.jpg
D:\datasets\flickr_soundnet\Data\1\14301166996.wav,D:\datasets\flickr_soundnet\Data\1\14301166996.jpg
D:\datasets\flickr_soundnet\Data\1\14318812501.wav,D:\datasets\flickr_soundnet\Data\1\14318812501.jpg
D:\datasets\flickr_soundnet\Data\1\14331654713.wav,D:\datasets\flickr_soundnet\Data\1\14331654713.jpg
D:\datasets\flickr_soundnet\Data\1\14338806301.wav,D:\datasets\flickr_soundnet\Data\1\14338806301.jpg
D:\datasets\flickr_soundnet\Data\1\14372308886.wav,D:\datasets\flickr_soundnet\Data\1\14372308886.jpg
D:\datasets\flickr_soundnet\Data\1\14417352351.wav,D:\datasets\flickr_soundnet\Data\1\14417352351.jpg
D:\datasets\flickr_soundnet\Data\1\14417759849.wav,D:\datasets\flickr_soundnet\Data\1\14417759849.jpg
D:\datasets\flickr_soundnet\Data\1\14461972616.wav,D:\datasets\flickr_soundnet\Data\1\14461972616.jpg
D:\datasets\flickr_soundnet\Data\1\14490056306.wav,D:\datasets\flickr_soundnet\Data\1\14490056306.jpg
D:\datasets\flickr_soundnet\Data\1\14500785841.wav,D:\datasets\flickr_soundnet\Data\1\14500785841.jpg
D:\datasets\flickr_soundnet\Data\1\14509491498.wav,D:\datasets\flickr_soundnet\Data\1\14509491498.jpg
D:\datasets\flickr_soundnet\Data\1\14516316084.wav,D:\datasets\flickr_soundnet\Data\1\14516316084.jpg
D:\datasets\flickr_soundnet\Data\1\14531591202.wav,D:\datasets\flickr_soundnet\Data\1\14531591202.jpg
D:\datasets\flickr_soundnet\Data\1\14539904796.wav,D:\datasets\flickr_soundnet\Data\1\14539904796.jpg
D:\datasets\flickr_soundnet\Data\1\14540887918.wav,D:\datasets\flickr_soundnet\Data\1\14540887918.jpg
D:\datasets\flickr_soundnet\Data\1\14543002301.wav,D:\datasets\flickr_soundnet\Data\1\14543002301.jpg
D:\datasets\flickr_soundnet\Data\1\14545571786.wav,D:\datasets\flickr_soundnet\Data\1\14545571786.jpg
D:\datasets\flickr_soundnet\Data\1\14547805374.wav,D:\datasets\flickr_soundnet\Data\1\14547805374.jpg
D:\datasets\flickr_soundnet\Data\1\14560190796.wav,D:\datasets\flickr_soundnet\Data\1\14560190796.jpg
